Salesid,Dateid,Productid,Segmentid,Price_PerUnit,QuantitySold
S1001,1,1001,19,299.99,3
S1002,2,1002,21,89.99,10
S1003,3,1003,31,1249.99,2
S1004,4,1004,32,5.99,40
S1005,5,1005,40,499.99,1
S1006,6,1006,43,20,5
S1007,7,1007,44,15.99,12
S1008,8,1008,46,120,7
S1009,9,1009,47,30,15
S1010,10,1010,48,65.5,4
S1011,11,1011,57,12.99,20
S1012,12,1012,71,45,8
S1013,13,1013,77,250,3
S1014,14,1014,81,35,6
S1015,15,1015,82,18.5,9
S1016,16,1001,83,299.99,2
S1017,17,1002,84,89.99,15
S1018,18,1003,86,1249.99,1
S1019,19,1004,97,5.99,35
S1020,20,1005,19,499.99,4
S1021,21,1006,21,20,6
S1022,22,1007,31,15.99,11
S1023,23,1008,32,120,5
S1024,24,1009,40,30,14
S1025,25,1010,43,65.5,7
